Gene stable ID,Gene name,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSBTAG00000050970,,,29,10677003,10677217,-1
ENSBTAG00000024708,CABIN1,calcineurin binding protein 1 [Source:VGNC Symbol_Acc:VGNC:26663],17,71345570,71417162,1
ENSBTAG00000026522,,,5,105166688,105173672,-1
ENSBTAG00000020252,NLGN2,neuroligin 2 [Source:VGNC Symbol_Acc:VGNC:55861],19,27087314,27098969,1
ENSBTAG00000049234,bta-mir-2285k-1,bta-mir-2285k-1 [Source:miRBase_Acc:MI0021135],29,10770074,10770143,1
ENSBTAG00000053295,,,3,116044911,116051383,-1
ENSBTAG00000050024,,,29,10837798,10842115,-1
ENSBTAG00000051048,,,13,74716442,74720491,1
ENSBTAG00000049539,,,3,116138425,116149407,-1
ENSBTAG00000016646,KCNA1,potassium voltage-gated channel subfamily A member 1 [Source:VGNC Symbol_Acc:VGNC:30420],5,105269006,105270493,-1
ENSBTAG00000047191,KCNA6,potassium voltage-gated channel subfamily A member 6 [Source:VGNC Symbol_Acc:VGNC:56213],5,105332833,105369529,-1
ENSBTAG00000020676,MMP9,matrix metallopeptidase 9 [Source:VGNC Symbol_Acc:VGNC:31531],13,74746976,74754303,1
ENSBTAG00000020679,CNTN1,contactin 1 [Source:VGNC Symbol_Acc:VGNC:27536],5,39772742,40037754,-1
ENSBTAG00000054770,bta-mir-2285ck,bta-mir-2285ck [Source:miRBase_Acc:MI0038401],16,44910390,44910458,1
ENSBTAG00000000202,SLC25A19,solute carrier family 25 member 19 [Source:VGNC Symbol_Acc:VGNC:34747],19,56205866,56217750,1
ENSBTAG00000020253,SPEM1,spermatid maturation 1 [Source:VGNC Symbol_Acc:VGNC:35203],19,27099426,27100767,1
ENSBTAG00000016259,KIAA1958,KIAA1958 [Source:VGNC Symbol_Acc:VGNC:30577],8,101814684,101938599,1
ENSBTAG00000001401,SLC45A1,solute carrier family 45 member 1 [Source:VGNC Symbol_Acc:VGNC:34880],16,45035427,45057579,-1
ENSBTAG00000048416,SPEM2,SPEM family member 2 [Source:NCBI gene (formerly Entrezgene)_Acc:112442631],19,27103385,27105180,1
ENSBTAG00000001134,SRRT,"serrate, RNA effector molecule [Source:VGNC Symbol_Acc:VGNC:35296]",25,35768779,35784480,-1
ENSBTAG00000052379,U1,U1 spliceosomal RNA [Source:RFAM_Acc:RF00003],3,22643717,22643880,1
ENSBTAG00000031837,IMPDH2,inosine monophosphate dehydrogenase 2 [Source:VGNC Symbol_Acc:VGNC:30189],22,50962854,50967685,1
ENSBTAG00000052039,,,3,22677607,22677804,-1
ENSBTAG00000012941,IFT46,intraflagellar transport 46 [Source:VGNC Symbol_Acc:VGNC:30069],15,29205690,29219880,-1
ENSBTAG00000049899,,,3,22688268,22688693,1
ENSBTAG00000009299,AFTPH,aftiphilin [Source:VGNC Symbol_Acc:VGNC:25718],11,62957397,62996669,1
ENSBTAG00000046067,bta-mir-2893,bta-mir-2893 [Source:miRBase_Acc:MI0013068],17,71364813,71364873,1
ENSBTAG00000052852,U1,U1 spliceosomal RNA [Source:RFAM_Acc:RF00003],3,22717000,22717163,1
ENSBTAG00000019718,RPS15,ribosomal protein S15 [Source:VGNC Symbol_Acc:VGNC:34131],7,43846494,43848179,1
ENSBTAG00000031737,TMEM102,transmembrane protein 102 [Source:VGNC Symbol_Acc:VGNC:35943],19,27112268,27114980,1
ENSBTAG00000051298,PVR,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene)_Acc:526865],18,52421184,52440074,1
ENSBTAG00000034776,DDAH1,dimethylarginine dimethylaminohydrolase 1 [Source:VGNC Symbol_Acc:VGNC:27939],3,58618306,58775117,1
ENSBTAG00000011531,SS18,SS18 subunit of BAF chromatin remodeling complex [Source:VGNC Symbol_Acc:VGNC:35305],24,30670051,30746241,1
ENSBTAG00000053916,MKRN3,makorin ring finger protein 3 [Source:HGNC Symbol_Acc:HGNC:7114],21,1160774,1163589,1
ENSBTAG00000028556,U1,U1 spliceosomal RNA [Source:RFAM_Acc:RF00003],3,22721501,22721667,1
ENSBTAG00000045998,MAGEL2,MAGE family member L2 [Source:VGNC Symbol_Acc:VGNC:31146],21,1205086,1208637,-1
ENSBTAG00000014179,SLC12A5,solute carrier family 12 member 5 [Source:VGNC Symbol_Acc:VGNC:34668],13,74766798,74795844,1
ENSBTAG00000006730,SUSD2,sushi domain containing 2 [Source:VGNC Symbol_Acc:VGNC:35487],17,71426379,71433950,1
ENSBTAG00000053218,TESMIN,testis expressed metallothionein like protein [Source:NCBI gene (formerly Entrezgene)_Acc:523398],29,46119372,46159241,-1
ENSBTAG00000015313,CEACAM19,CEA cell adhesion molecule 19 [Source:NCBI gene (formerly Entrezgene)_Acc:511941],18,52446740,52465524,1
ENSBTAG00000037187,U1,U1 spliceosomal RNA [Source:RFAM_Acc:RF00003],3,22737653,22737810,-1
ENSBTAG00000054612,U1,U1 spliceosomal RNA [Source:RFAM_Acc:RF00003],3,22749008,22749171,-1
ENSBTAG00000002186,NDN,"necdin, MAGE family member [Source:VGNC Symbol_Acc:VGNC:31936]",21,1252109,1253718,-1
ENSBTAG00000030168,MIF4GD,MIF4G domain containing [Source:VGNC Symbol_Acc:VGNC:31472],19,56219006,56223201,1
ENSBTAG00000013851,BCL10,BCL10 immune signaling adaptor [Source:VGNC Symbol_Acc:VGNC:53853],3,58819705,58829797,1
ENSBTAG00000050246,,,6,36033564,36033676,-1
ENSBTAG00000049564,,,11,62998450,63006677,-1
ENSBTAG00000053166,,,6,36050590,36050704,-1
ENSBTAG00000014186,NCOA5,nuclear receptor coactivator 5 [Source:VGNC Symbol_Acc:VGNC:31923],13,74797673,74824936,-1
ENSBTAG00000049341,SERTAD2,SERTA domain containing 2 [Source:NCBI gene (formerly Entrezgene)_Acc:786476],11,63035631,63058567,-1
ENSBTAG00000021999,CPT1A,carnitine palmitoyltransferase 1A [Source:VGNC Symbol_Acc:VGNC:27676],29,46164784,46225440,-1
ENSBTAG00000046567,bta-mir-2285ak,bta-mir-2285ak [Source:miRBase_Acc:MI0032948],15,29208775,29208850,-1
ENSBTAG00000050569,,,19,27113962,27114540,-1
ENSBTAG00000014691,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:VGNC Symbol_Acc:VGNC:26064],14,31303246,31456543,-1
ENSBTAG00000022571,AKR1C3,"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) [Source:NCBI gene (formerly Entrezgene)_Acc:617917]",13,43578475,43587393,1
ENSBTAG00000002500,FBXL15,F-box and leucine rich repeat protein 15 [Source:VGNC Symbol_Acc:VGNC:54431],26,23043063,23046230,1
ENSBTAG00000037983,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component [Source:VGNC Symbol_Acc:VGNC:27161]",18,52480667,52487085,1
ENSBTAG00000016326,C3H1orf52,chromosome 3 C1orf52 homolog [Source:VGNC Symbol_Acc:VGNC:52713],3,58835524,58843022,1
ENSBTAG00000015433,APC2,APC regulator of WNT signaling pathway 2 [Source:VGNC Symbol_Acc:VGNC:26006],7,43851930,43875954,1
ENSBTAG00000006690,ARCN1,archain 1 [Source:VGNC Symbol_Acc:VGNC:26057],15,29227702,29256278,1
ENSBTAG00000006608,GGT5,gamma-glutamyltransferase 5 [Source:VGNC Symbol_Acc:VGNC:29344],17,71443740,71453369,-1
ENSBTAG00000019390,CA12,carbonic anhydrase 12 [Source:VGNC Symbol_Acc:VGNC:26650],10,46649404,46851817,1
ENSBTAG00000018421,WWP2,WW domain containing E3 ubiquitin protein ligase 2 [Source:VGNC Symbol_Acc:VGNC:36979],18,36825623,36970786,1
ENSBTAG00000018918,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:VGNC Symbol_Acc:VGNC:31955],22,50968509,50969630,-1
ENSBTAG00000019242,CHRNB1,cholinergic receptor nicotinic beta 1 subunit [Source:VGNC Symbol_Acc:VGNC:27330],19,27116487,27131137,1
ENSBTAG00000050195,FAM172A,family with sequence similarity 172 member A [Source:NCBI gene (formerly Entrezgene)_Acc:617002],7,93088059,93506932,-1
ENSBTAG00000048905,,,27,34326689,34326904,-1
ENSBTAG00000009493,BCL3,BCL3 transcription coactivator [Source:VGNC Symbol_Acc:VGNC:58663],18,52519991,52529588,1
ENSBTAG00000046840,DEXI,Dexi homolog [Source:VGNC Symbol_Acc:VGNC:28017],25,9604176,9618759,-1
ENSBTAG00000002501,CUEDC2,CUE domain containing 2 [Source:VGNC Symbol_Acc:VGNC:55945],26,23046322,23054141,-1
ENSBTAG00000003444,SYDE2,synapse defective Rho GTPase homolog 2 [Source:VGNC Symbol_Acc:VGNC:35511],3,58890026,58928166,1
ENSBTAG00000016133,MRPS7,mitochondrial ribosomal protein S7 [Source:VGNC Symbol_Acc:VGNC:31677],19,56222482,56226605,-1
ENSBTAG00000029957,MIR191,microRNA 191 [Source:HGNC Symbol_Acc:HGNC:31561],22,50970980,50971083,1
ENSBTAG00000029913,bta-mir-425,bta-mir-425 [Source:miRBase_Acc:MI0005047],22,50971462,50971548,1
ENSBTAG00000008251,SNRPN,small nuclear ribonucleoprotein polypeptide N [Source:VGNC Symbol_Acc:VGNC:35082],21,1937647,1961037,1
ENSBTAG00000040445,,disintegrin and metalloproteinase domain-containing protein 5-like [Source:NCBI gene (formerly Entrezgene)_Acc:100847151],27,34425976,34551743,1
ENSBTAG00000002707,IPO4,importin 4 [Source:VGNC Symbol_Acc:VGNC:30242],10,20966510,20976590,1
ENSBTAG00000046900,GGT1,gamma-glutamyltransferase 1 [Source:NCBI gene (formerly Entrezgene)_Acc:615582],17,71455671,71471655,-1
ENSBTAG00000018913,DALRD3,DALR anticodon binding domain containing 3 [Source:VGNC Symbol_Acc:VGNC:27874],22,50972627,50975586,1
ENSBTAG00000051357,C7H19orf25,chromosome 7 C19orf25 homolog [Source:NCBI gene (formerly Entrezgene)_Acc:508965],7,43878088,43883085,-1
ENSBTAG00000009494,CBLC,Cbl proto-oncogene C [Source:VGNC Symbol_Acc:VGNC:26810],18,52541136,52556926,1
ENSBTAG00000010641,APH1B,"aph-1 homolog B, gamma-secretase subunit [Source:VGNC Symbol_Acc:VGNC:26014]",10,46654444,46772271,-1
ENSBTAG00000019275,INIP,INTS3 and NABP interacting protein [Source:VGNC Symbol_Acc:VGNC:30204],8,101964109,101990100,-1
ENSBTAG00000002305,PCSK4,proprotein convertase subtilisin/kexin type 4 [Source:VGNC Symbol_Acc:VGNC:55297],7,43888437,43894724,-1
ENSBTAG00000011433,RGP1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:VGNC Symbol_Acc:VGNC:33908]",8,59917058,59922869,1
ENSBTAG00000036423,bta-mir-146b,bta-mir-146b [Source:miRBase_Acc:MI0009745],26,23057605,23057710,1
ENSBTAG00000012552,FMR1,FMRP translational regulator 1 [Source:VGNC Symbol_Acc:VGNC:29055],X,30625271,30664682,1
ENSBTAG00000020736,CD40,CD40 molecule [Source:VGNC Symbol_Acc:VGNC:27033],13,74842191,74853116,1
ENSBTAG00000018851,MYCBP2,MYC binding protein 2 [Source:VGNC Symbol_Acc:VGNC:31785],12,52149494,52373739,-1
ENSBTAG00000018910,WDR6,WD repeat domain 6 [Source:VGNC Symbol_Acc:VGNC:36908],22,50975112,50983657,-1
ENSBTAG00000020420,AP1S2,adaptor related protein complex 1 subunit sigma 2 [Source:VGNC Symbol_Acc:VGNC:50199],X,127670367,127693758,1
ENSBTAG00000044070,SNX30,sorting nexin family member 30 [Source:VGNC Symbol_Acc:VGNC:35108],8,102004576,102108791,1
ENSBTAG00000053468,,chromosome 20 open reading frame 106 homolog [Source:NCBI gene (formerly Entrezgene)_Acc:786597],16,45127459,45128171,1
ENSBTAG00000022564,AKR1C4,"aldo-keto reductase family 1, member C4 (chlordecone reductase_ 3-alpha hydroxysteroid dehydrogenase, type I_ dihydrodiol dehydrogenase 4) [Source:NCBI gene (formerly Entrezgene)_Acc:282138]",13,43616999,43626832,1
ENSBTAG00000021262,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide [Source:VGNC Symbol_Acc:VGNC:35080],17,71496420,71513527,-1
ENSBTAG00000049475,,,16,45164201,45174307,1
ENSBTAG00000049941,,,16,45175320,45183858,1
ENSBTAG00000008289,ZBTB4,zinc finger and BTB domain containing 4 [Source:VGNC Symbol_Acc:VGNC:37078],19,27131781,27147274,-1
ENSBTAG00000016197,PHLDB1,pleckstrin homology like domain family B member 1 [Source:VGNC Symbol_Acc:VGNC:32837],15,29261921,29310613,1
ENSBTAG00000050082,,,16,45207835,45248345,1
ENSBTAG00000004348,MRPL21,mitochondrial ribosomal protein L21 [Source:VGNC Symbol_Acc:VGNC:31625],29,46258414,46269659,-1
ENSBTAG00000013670,SLC46A2,solute carrier family 46 member 2 [Source:VGNC Symbol_Acc:VGNC:34885],8,102117909,102129395,-1
ENSBTAG00000002311,REEP6,receptor accessory protein 6 [Source:VGNC Symbol_Acc:VGNC:33856],7,43895971,43901427,1
ENSBTAG00000016128,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:VGNC Symbol_Acc:VGNC:29337]",19,56226171,56240464,1
ENSBTAG00000017378,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8 [Source:VGNC Symbol_Acc:VGNC:56203],5,105403376,105441458,-1
ENSBTAG00000002603,PRPF39,pre-mRNA processing factor 39 [Source:VGNC Symbol_Acc:VGNC:33377],21,54809297,54844780,1
ENSBTAG00000011146,RAB8B,"RAB8B, member RAS oncogene family [Source:VGNC Symbol_Acc:VGNC:33663]",10,46780500,46850532,-1
ENSBTAG00000010392,ESRRG,estrogen related receptor gamma [Source:VGNC Symbol_Acc:VGNC:28610],16,19907145,20149352,-1
ENSBTAG00000016370,SLC35G6,solute carrier family 35 member G6 [Source:NCBI gene (formerly Entrezgene)_Acc:516150],19,27148724,27150319,1
ENSBTAG00000050912,,,24,31031649,31035989,-1
ENSBTAG00000005465,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9 [Source:VGNC Symbol_Acc:VGNC:56233],5,105474032,105495946,-1
ENSBTAG00000051448,TMEM9,transmembrane protein 9 [Source:VGNC Symbol_Acc:VGNC:36125],16,79675900,79688109,-1
ENSBTAG00000005490,P4HTM,"prolyl 4-hydroxylase, transmembrane [Source:VGNC Symbol_Acc:VGNC:32539]",22,50983772,50997485,-1
ENSBTAG00000051753,,,8,102130344,102179262,-1
ENSBTAG00000054601,,,7,43901763,43905735,-1
ENSBTAG00000047865,,,21,1964407,1964480,1
ENSBTAG00000050087,UFSP1,UFM1 specific peptidase 1 (inactive) [Source:NCBI gene (formerly Entrezgene)_Acc:527939],25,35769617,35770045,1
ENSBTAG00000018481,,major allergen Equ c 1 [Source:NCBI gene (formerly Entrezgene)_Acc:513329],8,102202002,102207049,-1
ENSBTAG00000046263,ADAMTSL5,ADAMTS like 5 [Source:NCBI gene (formerly Entrezgene)_Acc:107131164],7,43910025,43918385,-1
ENSBTAG00000051672,,,21,2016742,2016808,1
ENSBTAG00000010120,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:VGNC Symbol_Acc:VGNC:50190],6,36052150,36198478,-1
ENSBTAG00000043459,,,13,74874265,74874351,-1
ENSBTAG00000020419,,,X,127697032,127707709,-1
ENSBTAG00000022022,GUCD1,guanylyl cyclase domain containing 1 [Source:VGNC Symbol_Acc:VGNC:29718],17,71503858,71515630,1
ENSBTAG00000024772,TRIP6,thyroid hormone receptor interactor 6 [Source:NCBI gene (formerly Entrezgene)_Acc:615869],25,35784530,35789573,-1
ENSBTAG00000005208,CLEC16A,C-type lectin domain containing 16A [Source:VGNC Symbol_Acc:VGNC:27426],25,9621279,9853824,1
ENSBTAG00000054762,bta-mir-2285bm,bta-mir-2285bm [Source:miRBase_Acc:MI0038348],16,19928659,19928717,-1
ENSBTAG00000005854,COPS8,COP9 signalosome subunit 8 [Source:VGNC Symbol_Acc:VGNC:27606],3,116552174,116565322,1
ENSBTAG00000054144,,,13,43636224,43637708,1
ENSBTAG00000050133,,,16,20388581,20399097,-1
ENSBTAG00000022185,IGHMBP2,immunoglobulin mu DNA binding protein 2 [Source:VGNC Symbol_Acc:VGNC:30092],29,46268478,46293180,1
ENSBTAG00000054948,,,21,2024252,2052382,1
ENSBTAG00000051711,bta-mir-2285az,bta-mir-2285az [Source:miRBase_Acc:MI0038179],16,20425139,20425197,-1
ENSBTAG00000012898,RPS27L,ribosomal protein S27 like [Source:NCBI gene (formerly Entrezgene)_Acc:614220],10,46889250,46892617,1
ENSBTAG00000038777,MSMP,"microseminoprotein, prostate associated [Source:VGNC Symbol_Acc:VGNC:31702]",8,59921093,59922048,-1
ENSBTAG00000010128,NAP1L5,nucleosome assembly protein 1 like 5 [Source:VGNC Symbol_Acc:VGNC:31880],6,36082759,36084685,1
ENSBTAG00000012448,CCDC91,coiled-coil domain containing 91 [Source:VGNC Symbol_Acc:VGNC:26932],5,81198215,81592476,-1
ENSBTAG00000007624,FRMD4B,FERM domain containing 4B [Source:VGNC Symbol_Acc:VGNC:29115],22,32022449,32381786,1
ENSBTAG00000046765,POLR2A,RNA polymerase II subunit A [Source:VGNC Symbol_Acc:VGNC:33135],19,27151658,27171770,1
ENSBTAG00000012150,,polo like kinase 5 (inactive) [Source:NCBI gene (formerly Entrezgene)_Acc:511891],7,43930508,43937290,1
ENSBTAG00000055133,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2024739,2024831,1
ENSBTAG00000050747,,,1,96398536,96399909,-1
ENSBTAG00000039289,,aldo-keto reductase family 1 member C3 -like [Source:NCBI gene (formerly Entrezgene)_Acc:527068],13,43643187,43665142,1
ENSBTAG00000005923,ABTB2,ankyrin repeat and BTB domain containing 2 [Source:VGNC Symbol_Acc:VGNC:25516],15,64746521,64932891,-1
ENSBTAG00000052635,,,X,127719153,127720834,-1
ENSBTAG00000049289,,,8,59950294,59954953,1
ENSBTAG00000020541,PIGY,phosphatidylinositol glycan anchor biosynthesis class Y [Source:NCBI gene (formerly Entrezgene)_Acc:514374],6,36250083,36253466,1
ENSBTAG00000045975,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2028520,2028611,1
ENSBTAG00000005488,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2 [Source:VGNC Symbol_Acc:VGNC:26134],22,51000461,51038025,-1
ENSBTAG00000020418,CA5B,carbonic anhydrase 5B [Source:VGNC Symbol_Acc:VGNC:26655],X,127724914,127752302,-1
ENSBTAG00000050368,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2031274,2031366,1
ENSBTAG00000054960,,,X,30625279,30625404,1
ENSBTAG00000017373,LACTB,lactamase beta [Source:VGNC Symbol_Acc:VGNC:30764],10,46905306,46923194,-1
ENSBTAG00000021065,MFSD13A,major facilitator superfamily domain containing 13A [Source:VGNC Symbol_Acc:VGNC:31434],26,23071864,23089451,1
ENSBTAG00000001020,AKAP3,A-kinase anchoring protein 3 [Source:VGNC Symbol_Acc:VGNC:25784],5,105499533,105523869,1
ENSBTAG00000054192,,,X,30671657,30671727,-1
ENSBTAG00000052858,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2045521,2045613,1
ENSBTAG00000016126,NUP85,nucleoporin 85 [Source:VGNC Symbol_Acc:VGNC:32364],19,56241099,56269017,-1
ENSBTAG00000020980,CAT,catalase [Source:VGNC Symbol_Acc:VGNC:26792],15,64975271,65011223,1
ENSBTAG00000000191,SLC25A20,solute carrier family 25 member 20 [Source:VGNC Symbol_Acc:VGNC:34748],22,51045061,51080116,1
ENSBTAG00000046090,,mas-related G-protein coupled receptor member D [Source:NCBI gene (formerly Entrezgene)_Acc:507247],29,46309663,46318035,-1
ENSBTAG00000011434,NPR2,natriuretic peptide receptor 2 [Source:NCBI gene (formerly Entrezgene)_Acc:281357],8,59956219,59974722,1
ENSBTAG00000053342,,,21,2052849,2055102,1
ENSBTAG00000016774,,mas-related G-protein coupled receptor member D [Source:NCBI gene (formerly Entrezgene)_Acc:615853],29,46313912,46340047,-1
ENSBTAG00000049489,,,X,127831261,127836984,1
ENSBTAG00000001564,PDE4DIP,phosphodiesterase 4D interacting protein [Source:VGNC Symbol_Acc:VGNC:55072],3,22756471,23031334,-1
ENSBTAG00000040334,MEX3D,mex-3 RNA binding family member D [Source:NCBI gene (formerly Entrezgene)_Acc:538945],7,43947454,43955283,-1
ENSBTAG00000049003,,,21,2060216,2076385,1
ENSBTAG00000009495,BCAM,basal cell adhesion molecule [Source:VGNC Symbol_Acc:VGNC:49138],18,52562406,52574348,1
ENSBTAG00000004386,SOCS1,suppressor of cytokine signaling 1 [Source:VGNC Symbol_Acc:VGNC:35119],25,9913007,9913678,-1
ENSBTAG00000015185,MRGPRF,MAS related GPR family member F [Source:VGNC Symbol_Acc:VGNC:31603],29,46354537,46364270,-1
ENSBTAG00000020538,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:VGNC Symbol_Acc:VGNC:29814],6,36257293,36302174,-1
ENSBTAG00000048296,CLTRN,"collectrin, amino acid transport regulator [Source:NCBI gene (formerly Entrezgene)_Acc:513188]",X,127841454,127878242,1
ENSBTAG00000032884,TNP2,transition protein 2 [Source:VGNC Symbol_Acc:VGNC:36198],25,9926429,9928065,-1
ENSBTAG00000021368,,dihydrodiol dehydrogenase 3 [Source:NCBI gene (formerly Entrezgene)_Acc:782884],13,43687837,43711282,1
ENSBTAG00000053715,,,10,46983028,46991217,1
ENSBTAG00000046568,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2068901,2068991,1
ENSBTAG00000050435,,,11,63329990,63332575,1
ENSBTAG00000001325,UPB1,beta-ureidopropionase 1 [Source:VGNC Symbol_Acc:VGNC:36679],17,71518122,71544778,-1
ENSBTAG00000007556,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4 [Source:VGNC Symbol_Acc:VGNC:55903],5,105528525,105552494,-1
ENSBTAG00000038409,MBD3,methyl-CpG binding domain protein 3 [Source:VGNC Symbol_Acc:VGNC:31274],7,43960115,43968745,-1
ENSBTAG00000013051,PRM3,protamine 3 [Source:VGNC Symbol_Acc:VGNC:33347],25,9931753,9932148,-1
ENSBTAG00000046093,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2071678,2071771,1
ENSBTAG00000007763,SLC1A4,solute carrier family 1 member 4 [Source:VGNC Symbol_Acc:VGNC:34714],11,63379682,63409616,1
ENSBTAG00000002705,REC8,REC8 meiotic recombination protein [Source:VGNC Symbol_Acc:VGNC:33846],10,20976598,20982410,-1
ENSBTAG00000006609,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:VGNC Symbol_Acc:VGNC:28598],16,45352249,45366511,1
ENSBTAG00000001131,SLC12A9,solute carrier family 12 member 9 [Source:VGNC Symbol_Acc:VGNC:34672],25,35789614,35799221,-1
ENSBTAG00000032880,PRM2,protamine 2 [Source:VGNC Symbol_Acc:VGNC:58610],25,9933491,9934241,-1
ENSBTAG00000052210,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2074136,2074227,1
ENSBTAG00000045184,SNORD127,"small nucleolar RNA, C/D box 127 [Source:HGNC Symbol_Acc:HGNC:33555]",21,54837325,54837410,1
ENSBTAG00000050853,,,21,2083655,2091368,1
ENSBTAG00000020518,PARK7,Parkinsonism associated deglycase [Source:VGNC Symbol_Acc:VGNC:32586],16,45400213,45416993,-1
ENSBTAG00000021067,ACTR1A,actin related protein 1A [Source:VGNC Symbol_Acc:VGNC:25585],26,23088515,23104847,-1
ENSBTAG00000009408,ADAM2,ADAM metallopeptidase domain 2 [Source:VGNC Symbol_Acc:VGNC:55029],27,34593321,34693833,-1
ENSBTAG00000055149,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2091639,2091730,1
ENSBTAG00000002610,FKBP3,FKBP prolyl isomerase 3 [Source:VGNC Symbol_Acc:VGNC:29022],21,54845025,54855283,-1
ENSBTAG00000021493,PRM1,protamine 1 [Source:NCBI gene (formerly Entrezgene)_Acc:281423],25,9936633,9937134,-1
ENSBTAG00000053856,,,21,2093503,2122385,1
ENSBTAG00000045376,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2094148,2094236,1
ENSBTAG00000013778,DNAI3,dynein axonemal intermediate chain 3 [Source:VGNC Symbol_Acc:VGNC:36911],3,58957671,59043012,-1
ENSBTAG00000048811,bta-mir-2285cr-2,bta-mir-2285cr-2 [Source:miRBase_Acc:MI0038417],5,105544132,105544187,1
ENSBTAG00000008692,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI [Source:NCBI gene (formerly Entrezgene)_Acc:281570]",7,43976251,43979203,-1
ENSBTAG00000042115,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2097397,2097487,1
ENSBTAG00000040065,RAD51AP1,RAD51 associated protein 1 [Source:VGNC Symbol_Acc:VGNC:58401],5,105578163,105595893,-1
ENSBTAG00000003313,TNFRSF9,TNF receptor superfamily member 9 [Source:VGNC Symbol_Acc:VGNC:36171],16,45439406,45457866,1
ENSBTAG00000045308,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2099847,2099940,1
ENSBTAG00000003446,EPHB4,EPH receptor B4 [Source:VGNC Symbol_Acc:VGNC:28540],25,35810463,35827441,1
ENSBTAG00000044769,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2110141,2110222,1
ENSBTAG00000005672,CDH22,cadherin 22 [Source:VGNC Symbol_Acc:VGNC:27100],13,74896588,74980777,-1
ENSBTAG00000044848,,,5,39912077,39912185,-1
ENSBTAG00000000243,HEBP2,heme binding protein 2 [Source:VGNC Symbol_Acc:VGNC:29798],9,76190099,76196894,1
ENSBTAG00000014205,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha [Source:VGNC Symbol_Acc:VGNC:33325],22,51085591,51155609,1
ENSBTAG00000045426,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2114459,2114539,1
ENSBTAG00000007383,ZNF521,zinc finger protein 521 [Source:VGNC Symbol_Acc:VGNC:37296],24,31380664,31692928,1
ENSBTAG00000005816,IRF9,interferon regulatory factor 9 [Source:VGNC Symbol_Acc:VGNC:30280],10,20986934,20992851,-1
ENSBTAG00000048667,SNORD116,Small nucleolar RNA SNORD116 [Source:RFAM_Acc:RF00108],21,2116225,2116295,1
ENSBTAG00000054754,bta-mir-10167,bta-mir-10167 [Source:miRBase_Acc:MI0032919],23,27830623,27830699,1
ENSBTAG00000042125,SNORD115,Small nucleolar RNA SNORD115 [Source:RFAM_Acc:RF00105],21,2186760,2186809,1
ENSBTAG00000022570,,prostaglandin F synthetase II-like [Source:NCBI gene (formerly Entrezgene)_Acc:782922],13,43733438,43753829,-1
ENSBTAG00000008695,TCF3,transcription factor 3 [Source:VGNC Symbol_Acc:VGNC:35693],7,43981884,44015020,-1
ENSBTAG00000048713,SNORD115,Small nucleolar RNA SNORD115 [Source:RFAM_Acc:RF00105],21,2190535,2190615,1
ENSBTAG00000015318,NECTIN2,nectin cell adhesion molecule 2 [Source:VGNC Symbol_Acc:VGNC:52209],18,52582085,52615556,1
ENSBTAG00000054342,MIC1,major histocompatibility class I related protein [Source:NCBI gene (formerly Entrezgene)_Acc:533051],23,27841095,27913198,-1
ENSBTAG00000026375,RMI2,RecQ mediated genome instability 2 [Source:VGNC Symbol_Acc:VGNC:33994],25,9989195,9994633,1
